ell,TT_Cl_uK2,EE_Cl_uK2,BB_Cl_uK2,TE_Cl_uK2,TT_Dl_uK2,EE_Dl_uK2,BB_Dl_uK2,TE_Dl_uK2
102,1.6537674361722594,0.0004979470981234639,-4.084057872799286e-06,-0.01472279421704397,2765.234484581016,0.832608296130838,-0.00682887897044844,-24.61771672841145
103,1.6405578144218718,0.0004974653597966717,-3.741981863574828e-06,-0.014826106612454962,2796.9341104751857,0.8481126488586688,-0.0063795842017918495,-25.276551027572335
104,1.6276660955218374,0.0004967965716517597,-3.3874236238340304e-06,-0.01492237611971362,2828.8380644748095,0.8634185205771708,-0.005887247337747561,-25.934671549647362
105,1.615077108151933,0.0004959453798402683,-3.021828764811026e-06,-0.015011620152702333,2860.9387332871847,0.8785149263885011,-0.005352850904129068,-26.591501623971045
106,1.6027764646820681,0.0004949121688312705,-2.6466388171275156e-06,-0.015093821260163166,2893.2284778632643,0.8933834583026139,-0.004777541325983099,-27.24639054289117
107,1.5907505170755807,0.0004937015398184604,-2.2632852286272806e-06,-0.015169091833467863,2925.6996374625624,0.9080131677197185,-0.004162621795052098,-27.898910609440723
108,1.5789823509631469,0.0004923100426551677,-1.8731835222534704e-06,-0.015237463936968716,2958.3371055917337,0.9223783063527253,-0.0035095441795693623,-28.548485632125065
109,1.5674676785713288,0.0004907424846010857,-1.4777276439363037e-06,-0.015298935303858703,2991.1480478850476,0.9364680655914387,-0.002819900032321276,-29.194465120050122
110,1.5561907958025754,0.0004889959149921825,-1.0782845277371929e-06,-0.015353625234283727,3024.1173366377616,0.9502568888477788,-0.0020954107574428756,-29.836421328588088
111,1.545140540564085,0.0004870753044262509,-6.761889047353341e-07,-0.015401611856378337,3057.23709570415,0.9637341393875394,-0.0013379170043041678,-30.473848730787214
112,1.5343096599929946,0.0004849853793595978,-2.727383796966593e-07,-0.015442856855746251,3090.5061855620884,0.9768890556452967,-0.0005493673614077066,-31.106005443289458
