snapshot_index,cycle,cluster_index,cluster_id,worldline_id,x,y,z,cluster_class,support_node_count,interpolated
61,122,7,defect_cluster_000078,worldline_000038,0.46480740774868323,0.8587649418081023,-0.21558489841191608,threecycle,5,True
61,122,8,defect_cluster_000085,worldline_000041,0.901281508913797,-0.10938704389265747,0.419196989872894,transposition,5,True
61,122,9,defect_cluster_000337,worldline_000046,0.846103207561373,0.4149664628815554,-0.3345328038293506,transposition,4,True
61,122,10,defect_cluster_000106,worldline_000051,-0.910138584283315,0.046398776968556175,0.41169759641584663,threecycle,6,True
61,122,11,defect_cluster_000109,worldline_000052,-0.904254452156668,0.04415765445381341,0.42470458828223395,threecycle,3,True
61,122,12,defect_cluster_000120,worldline_000060,-0.4279576002834779,0.674144117987956,0.6019817277474855,threecycle,3,True
61,122,13,defect_cluster_000141,worldline_000067,0.23557667851620007,-0.24265391319899857,-0.9410752929221379,threecycle,4,True
61,122,14,defect_cluster_000152,worldline_000070,0.14898324912021155,-0.8755291625312844,-0.459622319996378,transposition,3,True
61,122,15,defect_cluster_000161,worldline_000075,-0.07912968245917278,0.9646885492678421,0.25122598644530525,transposition,5,True
61,122,16,defect_cluster_000197,worldline_000095,0.5606401265194105,0.24600068697904437,0.7906745920681513,transposition,5,True
61,122,17,defect_cluster_000292,worldline_000106,0.7262166436041655,0.13716269265537123,0.6736436612155039,transposition,3,True
61,122,18,defect_cluster_000233,worldline_000112,-0.5128355497236995,-0.8274053929858177,-0.2289104947300924,transposition,3,True
61,122,19,defect_cluster_000312,worldline_000117,0.07861527533743567,-0.99130092510844,-0.10555621423094921,transposition,5,True
61,122,20,defect_cluster_000247,worldline_000121,-0.27298440997911744,-0.13491705445486854,-0.9525108400042359,transposition,6,True
61,122,21,defect_cluster_000265,worldline_000126,0.3570935628347229,-0.20002087929251644,0.9124011372357295,transposition,4,True
61,122,22,defect_cluster_000274,worldline_000135,0.8964893143655006,0.06337136790253611,0.43850995308959223,transposition,6,True
61,122,23,defect_cluster_000288,worldline_000136,0.7326318271936658,0.13684799735137707,0.666725754267666,transposition,6,True
61,122,24,defect_cluster_000283,worldline_000140,-0.9593518173590186,-0.28150991974014955,-0.019906170345966277,transposition,5,True
61,122,25,defect_cluster_000326,worldline_000157,-0.814332072970327,-0.5798098717012011,0.026149332872692162,transposition,4,True
61,122,26,defect_cluster_000339,worldline_000163,0.8420488806649381,0.4183388535949865,-0.34050886353185766,threecycle,3,True
61,122,27,defect_cluster_000345,worldline_000166,-0.39404578752176683,-0.8358382141129671,0.38223343281926064,threecycle,6,True
61,122,28,defect_cluster_000360,worldline_000173,0.7615740133810714,0.48516073045985086,-0.4296790520403706,threecycle,4,True
61,122,29,defect_cluster_000394,worldline_000178,0.3826240135616271,-0.1664455731328214,0.9087875084036303,transposition,5,True
61,122,30,defect_cluster_000306,worldline_000183,-0.9584472241546944,0.2106587439669964,0.19235855088976025,threecycle,5,True
61,122,31,defect_cluster_000384,worldline_000186,-0.4469836355292346,-0.14533984064626582,0.8826561959732602,transposition,6,True
61,122,32,defect_cluster_000068,worldline_000209,0.7290188355667289,-0.26461513554492416,0.631276775613892,transposition,3,True
61,122,33,defect_cluster_000422,worldline_000211,0.9172692266507334,-0.2827012794565598,-0.2805301274964773,transposition,3,True
61,122,34,defect_cluster_000438,worldline_000219,-0.126786193770565,-0.236547300523696,-0.9633123250971749,transposition,4,True
61,122,35,defect_cluster_000442,worldline_000221,-0.11858681504206794,-0.2368315838317357,-0.9642862480601546,transposition,3,True
61,122,36,defect_cluster_000448,worldline_000224,0.07979764610945946,-0.02363685150943518,0.9965307997879997,transposition,3,True
61,122,37,defect_cluster_000455,worldline_000228,0.4782544151236205,0.12138532602051413,0.8697921113930944,threecycle,5,True
61,122,38,defect_cluster_000460,worldline_000231,-0.027334933597530617,0.24095956829735232,-0.970150136757797,transposition,4,True
61,122,39,defect_cluster_000500,worldline_000253,-0.5942499921126134,0.3266101580823219,-0.7349780619253881,transposition,4,True
61,122,40,defect_cluster_000509,worldline_000258,0.375919922644603,0.9256845986270116,0.0423348039280243,transposition,5,True
61,122,41,defect_cluster_000537,worldline_000266,-0.9161175642411956,0.39646327132448306,-0.05954395837923518,threecycle,5,True
61,122,42,defect_cluster_000563,worldline_000284,-0.040934831623917894,0.16519976787566573,-0.9854102578387073,transposition,6,True
61,122,43,defect_cluster_000590,worldline_000295,-0.5114910859392344,0.7639335253673778,-0.39342399243624265,transposition,3,True
61,122,44,defect_cluster_000611,worldline_000307,-0.4836758294809865,0.051280468081766936,0.873743672691937,threecycle,7,True
61,122,45,defect_cluster_000642,worldline_000326,0.29416160967737204,-0.8296429301394661,-0.4745119132978839,transposition,6,True
61,122,46,defect_cluster_000650,worldline_000327,-0.8078450778822202,0.4043698480064598,0.42880223432802017,transposition,5,True
61,122,47,defect_cluster_000686,worldline_000345,0.09760884850624069,-0.9748484554986669,0.20035718481040135,threecycle,3,True
61,122,48,defect_cluster_000651,worldline_000349,-0.8027601595870476,0.40764487356696044,0.4352031516824696,threecycle,3,True
61,122,49,defect_cluster_000064,worldline_000366,0.7248868247093139,-0.2598743958021853,0.6379689567442114,transposition,3,True
61,122,50,defect_cluster_000717,worldline_000367,-0.6911497055813104,-0.5992739265518696,0.4039589650323065,transposition,6,True
61,122,51,defect_cluster_000733,worldline_000375,0.9141102649812962,0.2613076169641705,-0.31003347040655277,transposition,3,True
61,122,52,defect_cluster_000737,worldline_000377,-0.8037837599706062,-0.004969495412665341,-0.5949008079695796,transposition,3,True
61,122,53,defect_cluster_000755,worldline_000384,0.4007643582263927,0.641185048008547,0.6544231531552538,threecycle,4,True
