worldline_id,event_index,cycle,event,class,holonomy_mode,support_node_count,x,y,z,vx,vy,vz,pair_h3_separation,support_overlap_fraction,support_overlap_node_count,contact_outcome,charge_conservation_pass,transport_distance
free_pair_left,24,24,continue,transposition,1,8,0.29578239587668453,-0.240510583610184,0.08273907591124188,0.016703607601255454,-0.019224177427957255,-0.07684131370574918,0.34877191700973653,0.0,0,scatter,True,0.08299761939583646
free_pair_left,25,25,continue,transposition,1,8,0.2965653149296278,-0.2649677323059949,0.011771377369532945,0.0010390051334830993,-0.032456871434893265,-0.09418062163530283,0.24701691412766905,0.0,0,scatter,True,0.0769854926514306
free_pair_left,26,26,continue,transposition,1,8,0.2876254115386325,-0.287299303899763,-0.035480631667610785,-0.01967972194706006,-0.04915926944455421,-0.10401749981186664,0.18915737679645098,0.14019374183431377,1,scatter,True,0.054409638561231106
free_pair_left,27,27,continue,transposition,1,8,0.27380281370715803,-0.3071359394733878,-0.06801085097875169,-0.044619803116810165,-0.06403331592123992,-0.10500862418963466,0.16103025182585057,0.2680443098824974,2,scatter,True,0.041631860449166114
free_pair_left,28,28,continue,transposition,1,8,0.2569725312145147,-0.3266874243052735,-0.09086417222474412,-0.06621030257800938,-0.07691550793246352,-0.08990492674564482,0.15266942939833555,0.3060480481893838,2,scatter,True,0.035430532862973436
free_pair_left,29,29,continue,transposition,1,8,0.23782927843246207,-0.3478211905234069,-0.10676026272759484,-0.07943827188536332,-0.08769825514563233,-0.06596360470482168,0.15937086592423744,0.27558697307164803,2,scatter,True,0.033580860115975636
free_pair_left,30,30,continue,transposition,1,8,0.21596073191411136,-0.37202924673408827,-0.11652089895858334,-0.08374014280850507,-0.09269871148033054,-0.03737592122087175,0.17940372747127425,0.1845285114942079,1,scatter,True,0.03504642500642216
free_pair_left,31,31,continue,transposition,1,8,0.19004829185182964,-0.4000882076451835,-0.11933394671651791,-0.0809986119266281,-0.0877083316136806,-0.008793188257391405,0.2131902292410597,0.03095350344972858,0,scatter,True,0.039462492871499076
free_pair_left,32,32,continue,transposition,1,8,0.1608554227163406,-0.43429809933081814,-0.1127390106226425,-0.06767787858928533,-0.07930885057263481,0.01528905165826273,0.2626200754062852,0.0,0,scatter,True,0.046868517955595664
free_pair_left,33,33,continue,transposition,1,8,0.12998728384054536,-0.47618519870649567,-0.09231861393485156,-0.04929856026768623,-0.06689660498546023,0.03261279084086624,0.3296454444007337,0.0,0,scatter,True,0.05768461311866348
free_pair_left,34,34,continue,transposition,1,8,0.10389701787372449,-0.5262930358401485,-0.051015243106637936,-0.028508115818199637,-0.05475145505309398,0.04513105695243472,0.41297284302454107,0.0,0,scatter,True,0.07230631383672066
free_pair_left,35,35,continue,transposition,1,8,0.09546983274253995,-0.5659709132476458,-0.0003609515434869204,-0.008427185131184541,-0.03967787740749727,0.050654291563151016,0.47690136583274306,0.0,0,scatter,True,0.0673082786222278
free_pair_left,36,36,continue,transposition,1,8,0.10609014699169467,-0.5903573178810098,0.0481169681510129,0.010620314249154713,-0.02438640463336393,0.04847791969449982,0.5087987261485123,0.0,0,scatter,True,0.057729194458440575
free_pair_left,37,37,continue,transposition,1,8,0.13709427029379295,-0.6033610960285679,0.09142438556281375,0.031004123302098296,-0.01300377814755819,0.04330741741180085,0.5064526339737336,0.0,0,scatter,True,0.05768511880726597
free_pair_left,38,38,continue,transposition,1,8,0.1849825014520273,-0.6034143886714584,0.12372896230102672,0.04788823115823435,-5.329264289048556e-05,0.032304576738212964,0.4695563890688392,0.0,0,scatter,True,0.06134929163448153
