worldline_id,event_index,cycle,event,class,holonomy_mode,support_node_count,x,y,z,pair_h3_separation,local_readout_contraction,transport_distance
stress_pair_left,46,46,continue,transposition,1,8,-1.9386830700721703e-09,0.0,0.0,0.0,0.96,0.0
stress_pair_left,47,47,continue,transposition,1,8,-9.693415350360851e-10,0.0,0.0,0.0,0.96,0.0
stress_pair_left,48,48,continue,transposition,1,8,-4.846707675180426e-10,0.0,0.0,0.0,0.96,0.0
stress_pair_left,49,49,continue,transposition,1,8,-2.423353837590213e-10,0.0,0.0,0.0,0.96,0.0
stress_pair_left,50,50,continue,transposition,1,8,-1.2116769187951064e-10,0.0,0.0,0.0,0.96,0.0
stress_pair_left,51,51,continue,transposition,1,8,-6.058384593975532e-11,0.0,0.0,0.0,0.96,0.0
stress_pair_left,52,52,continue,transposition,1,8,-3.029192296987766e-11,0.0,0.0,0.0,0.96,0.0
stress_pair_left,53,53,continue,transposition,1,8,-1.514596148493883e-11,0.0,0.0,0.0,0.96,0.0
stress_pair_left,54,54,continue,transposition,1,8,-7.572980742469415e-12,0.0,0.0,0.0,0.96,0.0
stress_pair_left,55,55,continue,transposition,1,8,-3.7864903712347075e-12,0.0,0.0,0.0,0.96,0.0
stress_pair_left,56,56,continue,transposition,1,8,-1.8932451856173538e-12,0.0,0.0,0.0,0.96,0.0
stress_pair_left,57,57,continue,transposition,1,8,-9.466225928086769e-13,0.0,0.0,0.0,0.96,0.0
stress_pair_left,58,58,continue,transposition,1,8,-4.733112964043384e-13,0.0,0.0,0.0,0.96,0.0
stress_pair_left,59,59,continue,transposition,1,8,-2.366556482021692e-13,0.0,0.0,0.0,0.96,0.0
stress_pair_left,60,60,continue,transposition,1,8,-1.183278241010846e-13,0.0,0.0,0.0,0.96,0.0
stress_pair_left,61,61,continue,transposition,1,8,-5.91639120505423e-14,0.0,0.0,0.0,0.96,0.0
stress_pair_left,62,62,continue,transposition,1,8,-2.958195602527115e-14,0.0,0.0,0.0,0.96,0.0
stress_pair_left,63,63,continue,transposition,1,8,-1.4790978012635576e-14,0.0,0.0,0.0,0.96,0.0
stress_pair_right,0,0,birth,transposition,1,8,0.6,0.0,0.0,1.1999999999999997,0.9836065573770492,
stress_pair_right,1,1,continue,transposition,1,8,0.5836065573770491,0.0,0.0,1.167213114754098,0.9830679692939147,0.01639344262293499
stress_pair_right,2,2,continue,transposition,1,8,0.5666745266709639,0.0,0.0,1.1333490533419275,0.9824905454821966,0.01693203070608535
stress_pair_right,3,3,continue,transposition,1,8,0.5491650721531605,0.0,0.0,1.098330144306321,0.9818703384308438,0.01750945451781488
stress_pair_right,4,4,continue,transposition,1,8,0.5310354105840043,0.0,0.0,1.0620708211680083,0.9812029583106194,0.0181296615691477
stress_pair_right,5,5,continue,transposition,1,8,0.5122383688946237,0.0,0.0,1.0244767377892472,0.9804835454001348,0.018797041689376924
stress_pair_right,6,6,continue,transposition,1,8,0.49272191429475853,0.0,0.0,0.9854438285895171,0.9797067579782904,0.01951645459986258
